Peppermint Tea,Healing herb/tea,Upset stomach; tension headaches; fatigue; respiratory congestion,Steep 1 tea bag in hot water; recommended for mental focus and digestion.
Ginger Tea,Healing herb/tea,Nausea; gut issues; inflammation; poor circulation,Steep 1 tea bag in hot water; ideal for warming the body and boosting immunity.
Moringa Tea,Healing herb/tea,Low energy; blood sugar instability; nutrient deficiency,Steep 1 tea bag in hot water daily for a non-caffeinated energy boost.
Lemongrass Tea,Healing herb/tea,Fluid retention; lymphatic drainage; tendon repair,Steep 1 tea bag in hot water to clear toxins and support connective tissue.
Camomile Tea,Healing herb/tea,Insomnia; anxiety; stress; digestive tract spasms,Steep 1 tea bag in hot water before bed to promote restful sleep.
Arthritis Blend,Essential Oil Blend,Joint stiffness; mobility issues; arthritis pain; inflammation,Apply diluted blend topically to stiff joints and sore muscles.
Tension Headaches Blend,Essential Oil Blend,Migraines; tension headaches; stress; nervous system pressure,Apply diluted blend to temples; neck; and wrists at the onset of a headache.
Insomnia Blend,Essential Oil Blend,Restlessness; racing mind; insomnia; high stress,Diffuse in the bedroom or apply diluted to feet and wrists before sleep.
Prostate Health Blend,Essential Oil Blend,Cellular damage; chronic inflammation; prostate support,Apply diluted blend topically over the lower abdomen or use daily.
Menopause Blend,Essential Oil Blend,Hot flashes; night sweats; mood swings; hormonal imbalance,Apply diluted blend to back of neck during hot flashes or diffuse daily.
Flu Decongestant Blend,Essential Oil Blend,Nasal congestion; flu symptoms; airway blockage; excess mucus,Diffuse in room or inhale vapors to open respiratory airways.
Digestive Calm Blend,Essential Oil Blend,Nausea; stomach acidity; indigestion; post-meal discomfort,Massage diluted blend onto abdomen after meals or when nauseous.
Tendon & Circulation Blend,Essential Oil Blend,Poor circulation; tendon soreness; muscle tension,Massage diluted blend onto target areas to stimulate blood flow and support connective tissue.
